RANK,Locality,INCIDENCE,rooftop_northeast_latitude,rooftop_northeast_longitude,rooftop_southwest_latitude,rooftop_southwest_longitude,points
25,KWADASO-AGIC KROMOASE,135,6.700795091,-1.644773498,6.684598324,-1.659793869,"6.70079509128745,-1.64477349835459,6.68459832377308,-1.65979386861926"
26,ANOMANGYE,128,6.72384648,-1.63298667,6.72114852,-1.63568463,"6.7238464802915,-1.63298666970849,6.72114851970849,-1.6356846302915"
27,ASAFO,127,32.70723363,-97.05815427,32.70453567,-97.06085223,"32.7072336302915,-97.0581542697085,32.7045356697085,-97.0608522302915"
28,PATASI,125,6.692013307,-1.638280775,6.670767009,-1.652739569,"6.6920133069215,-1.63828077499548,6.67076700904088,-1.65273956894163"
29,ABOABO,122,6.700688612,-1.59284585,6.688626337,-1.607437039,"6.70068861205821,-1.59284585047401,6.68862633743456,-1.60743703887929"
30,MAAKRO,121,6.73011943,-1.63340717,6.72742147,-1.63610513,"6.7301194302915,-1.63340716970849,6.72742146970849,-1.6361051302915"
31,KNUST CAMPUS,120,6.67585378,-1.57019007,6.67315582,-1.57288803,"6.6758537802915,-1.57019006970849,6.67315581970849,-1.5728880302915"
32,ATASAMANSO,120,6.650775455,-1.619603541,6.631571852,-1.637434975,"6.65077545513247,-1.61960354089154,6.63157185245501,-1.63743497476127"
33,SOUTH SUNTRESO,117,6.699841502,-1.635975864,6.689532089,-1.646130662,"6.69984150217948,-1.6359758638113,6.6895320894872,-1.64613066160518"
34,SAWABA,111,,,,,",,,"
35,AHODWO DABAN,110,6.660802344,-1.608729959,6.647178843,-1.635315732,"6.66080234389999,-1.60872995916336,6.64717884319906,-1.63531573191966"
36,DICHEMSO,109,6.714157008,-1.598982861,6.707465518,-1.616663917,"6.71415700779616,-1.5989828613393,6.70746551801337,-1.61666391652877"
37,KROFROM,107,6.71482703,-1.61652347,6.71212907,-1.61922143,"6.7148270302915,-1.61652346970849,6.71212906970849,-1.6192214302915"
38,OFORIKROM,106,6.708496057,-1.505004794,6.643676727,-1.604675149,"6.70849605668921,-1.50500479388565,6.64367672741042,-1.60467514870144"
39,TAFO-MOSHIE ZONGO,104,,,,,",,,"
40,AMAKOM,101,6.689798463,-1.593725705,6.668763458,-1.60889637,"6.68979846259498,-1.59372570538398,6.66876345764844,-1.60889637013146"
41,ANWOMASO,96,6.697004739,-1.525954718,6.68992348,-1.534911099,"6.6970047388998,-1.52595471844943,6.68992347995077,-1.53491109933937"
42,SOKOBAN,96,,,,,",,,"
43,AHWIAA,95,6.917054279,-1.639022734,6.883141153,-1.672496729,"6.91705427906211,-1.63902273424599,6.88314115311992,-1.67249672857653"
44,NORTH SUNTRESO,94,6.70766259,-1.635374989,6.696863195,-1.645014877,"6.70766258962619,-1.63537498930771,6.69686319512176,-1.64501487737185"
45,KWADASO NYANKYERANYINASE,88,,,,,",,,"
46,SANTASI-BROFOYEDRU,87,,,,,",,,"
47,DEDUAKO,85,6.660206554,-1.541283157,6.645063451,-1.549029342,"6.66020655395903,-1.54128315746644,6.6450634513905,-1.54902934227586"
48,ATONSU-GYENYASE,85,,,,,",,,"
49,BUOKROM SEPE DOTE,84,,,,,",,,"
50,APATRAPA,83,,,,,",,,"
51,AHODWO,81,6.660802344,-1.608729959,6.647178843,-1.635315732,"6.66080234389999,-1.60872995916336,6.64717884319906,-1.63531573191966"
52,KOTEI,80,6.669893116,-1.549522858,6.64678981,-1.564350052,"6.66989311569394,-1.54952285818113,6.64678980959058,-1.56435005156087"
53,PANKRONO ESTATE,77,6.74093428,-1.60142147,6.73823632,-1.60411943,"6.7409342802915,-1.60142146970849,6.73823631970849,-1.6041194302915"
54,KWADASO -ABURASO,74,6.700795091,-1.644773498,6.684598324,-1.659793869,"6.70079509128745,-1.64477349835459,6.68459832377308,-1.65979386861926"
55,BREMAN-UGC,73,,,,,",,,"
56,NEW  SUAME,72,,,,,",,,"
57,DANNYAME,72,6.65554468,-1.61494707,6.65284672,-1.61764503,"6.6555446802915,-1.61494706970849,6.65284671970849,-1.6176450302915"
58,BANTAMA NURSES QUARTERS,67,6.711066986,-1.621599241,6.694039576,-1.64417265,"6.71106698564362,-1.62159924098452,6.69403957643017,-1.64417264974513"
59,NEW TAFO,64,6.227333267,-0.354772576,6.205148499,-0.386787424,"6.22733326700668,-0.354772576228582,6.20514849908747,-0.386787423771417"
60,ODUOM,63,6.703893325,-1.531751776,6.681729423,-1.563766624,"6.70389332531769,-1.53175177622858,6.68172942315948,-1.56376662377141"
61,AMPAAME,62,,,,,",,,"
62,SANTASI-PAKYI NO. 2,60,,,,,",,,"
63,AHINSAN,59,6.70398593,-1.62859302,6.70128797,-1.63129098,"6.7039859302915,-1.62859301970849,6.70128796970849,-1.6312909802915"
64,SANTASI-PAKYI NO. 1,59,,,,,",,,"
65,KAASE,57,33.99148388,-83.77253952,33.98878592,-83.77523748,"33.9914838802915,-83.7725395197084,33.9887859197085,-83.7752374802915"
66,KWADASO-AGRIC NZEMA,54,6.67295073,-1.66849517,6.67025277,-1.67119313,"6.6729507302915,-1.66849516970849,6.67025276970849,-1.6711931302915"
67,KOKOSO,53,,,,,",,,"
68,KWAMO,53,6.724630497,-1.479346173,6.715064447,-1.487326381,"6.72463049747061,-1.4793461727836,6.71506444660837,-1.48732638121012"
69,AKWATIA LINE,53,6.699782161,-1.607523055,6.697084201,-1.612055931,"6.69978216116844,-1.60752305470145,6.69708420058543,-1.61205593148928"
70,AHODWO-NHYIAESO,53,6.679204785,-1.612426536,6.668324291,-1.622082186,"6.67920478531707,-1.61242653625292,6.66832429139883,-1.62208218583639"
71,SANTASI-OWASS,53,,,,,",,,"
72,DEDUAKO-KODIEKROM -TECH,51,,,,,",,,"
73,KROMOASE,51,6.66148678,-1.67819357,6.65878882,-1.68089153,"6.6614867802915,-1.67819356970849,6.65878881970849,-1.6808915302915"
74,SANTASE-APIRE,51,,,,,",,,"
75,AYEDUASE,49,6.703650751,-1.509246809,6.650530258,-1.595302829,"6.70365075141291,-1.50924680948116,6.65053025782573,-1.595302829229"
76,CENTRAL POLICE BARRACKS,49,,,,,",,,"
77,ALABAR,48,,,,,",,,"
78,SANTASI-ANYINAM,48,,,,,",,,"
79,HEMANG,47,5.542114139,-1.286315895,5.214721651,-1.628112713,"5.54211413931582,-1.28631589531459,5.21472165141053,-1.62811271285318"
80,ASENUA,45,6.77803333,-1.58660967,6.77533537,-1.58930763,"6.7780333302915,-1.58660966970849,6.77533536970849,-1.5893076302915"
81,KATH STAFF QUARTERS ,43,,,,,",,,"
82,AFFUL NKWANTA,43,,,,,",,,"
83,KWADASO EDWENASE,42,6.700795091,-1.644773498,6.684598324,-1.659793869,"6.70079509128745,-1.64477349835459,6.68459832377308,-1.65979386861926"
84,ODENEHO  KWADASO,42,6.672343951,-1.627907865,6.657744878,-1.644108342,"6.67234395120939,-1.62790786521251,6.65774487804847,-1.64410834239833"
85,APPIEDU,41,,,,,",,,"
86,ASUYEBOAH-IPT,41,,,,,",,,"
87,BOMSO,40,6.276770492,-0.778767738,6.265317711,-0.793243359,"6.27677049161013,-0.778767737521301,6.26531771079438,-0.793243359078141"
88,ASUYEBOAH SNNIT FLAT ,39,,,,,",,,"
89,NORTH PATASE,39,,,,,",,,"
90,FANTE NEW TOWN,39,6.69211988,-1.61237847,6.68942192,-1.61507643,"6.6921198802915,-1.61237846970849,6.68942191970849,-1.6150764302915"
91,COMPLEX,38,,,,,",,,"
92,ANGLOGA,38,5.82027108,0.947914067,5.76869427,0.803546834,"5.82027108044771,0.947914066830485,5.76869427006979,0.803546833805783"
93,KENTINKRONO,38,,,,,",,,"
94,DUASE NEW SITE,38,6.72827548,-1.57488712,6.72557752,-1.57758508,"6.7282754802915,-1.57488711970849,6.72557751970849,-1.5775850802915"
95,SEPE TIMPOM,38,6.71505138,-1.57895262,6.71235342,-1.58165058,"6.7150513802915,-1.57895261970849,6.71235341970849,-1.5816505802915"
96,SANTASI-T.U.C.,38,,,,,",,,"
97,ASOKWA STADIUM,37,6.261465249,-1.482038454,6.236636853,-1.513881751,"6.26146524883536,-1.48203845371038,6.23663685339235,-1.51388175112073"
98,SOKOBAN AMPABAME,37,6.605695866,-1.606922132,6.579264266,-1.634216374,"6.60569586608693,-1.60692213191663,6.5792642664891,-1.63421637396394"
99,MPATASIE,37,6.785989479,-1.636490821,6.726410405,-1.660737938,"6.78598947941614,-1.63649082109319,6.72641040522836,-1.66073793806309"
100,ADIEMBRA,37,6.260750796,-2.216348457,6.248564186,-2.227115545,"6.26075079608401,-2.21634845715391,6.24856418555163,-2.22711554547247"
101,PAKOSO,35,,,,,",,,"
102,KRONUM-KWAPRA,35,6.75790138,-1.63508877,6.75520342,-1.63778673,"6.7579013802915,-1.63508876970849,6.75520341970849,-1.6377867302915"
103,FANKYENEBRA,34,6.665396157,-1.63558965,6.657979351,-1.643571958,"6.66539615677701,-1.63558964987616,6.65797935111631,-1.64357195765475"
104,BREMAN WEST,33,6.74229513,-1.63969832,6.73959717,-1.64239628,"6.7422951302915,-1.63969831970849,6.73959716970849,-1.6423962802915"
105,KWADASO  OHWIMASE,33,6.700795091,-1.644773498,6.684598324,-1.659793869,"6.70079509128745,-1.64477349835459,6.68459832377308,-1.65979386861926"
106,APRADE,32,5.828595514,-0.984130376,5.806394466,-1.016145224,"5.82859551443305,-0.984130376228582,5.80639446645112,-1.01614522377141"
107,BOADI,32,,,,,",,,"
108,CHIRAPATRE ESTATE,32,,,,,",,,"
109,DABAN NEW SITE,31,6.68883173,-1.61000667,6.68613377,-1.61270463,"6.6888317302915,-1.61000666970849,6.68613376970849,-1.6127046302915"
110,MANHYIA,30,6.710321108,-1.608102371,6.699878817,-1.619560743,"6.71032110812737,-1.6081023705504,6.69987881710451,-1.6195607430502"
111,AHINSAN ESTATE,29,6.70398593,-1.62859302,6.70128797,-1.63129098,"6.7039859302915,-1.62859301970849,6.70128796970849,-1.6312909802915"
112,NEW AMAKOM,29,6.689798463,-1.593725705,6.668763458,-1.60889637,"6.68979846259498,-1.59372570538398,6.66876345764844,-1.60889637013146"
113,ANWOMASO - DOMEABRA,28,6.697004739,-1.525954718,6.68992348,-1.534911099,"6.6970047388998,-1.52595471844943,6.68992347995077,-1.53491109933937"
114,SANTASI-ADUMASA,28,6.700624773,-1.631548462,6.618484877,-1.697087276,"6.70062477331705,-1.63154846212246,6.61848487664691,-1.6970872756933"
115,BANTAMA-4BN BARRACKS,27,6.711066986,-1.621599241,6.694039576,-1.64417265,"6.71106698564362,-1.62159924098452,6.69403957643017,-1.64417264974513"
116,AMPABAME NO.2,27,6.773716173,-1.624195596,6.698536235,-1.691036158,"6.77371617348981,-1.62419559590683,6.69853623549823,-1.6910361584336"
117,ABOABO-KESE,26,,,,,",,,"
118,ATONSU AGOGO,26,6.70880113,-1.71633067,6.70610317,-1.71902863,"6.7088011302915,-1.71633066970849,6.70610316970849,-1.7190286302915"
119,BREMAN NEW YORK,26,43.84589465,-75.42417728,43.82979807,-75.45619212,"43.8458946470857,-75.4241772762285,43.8297980673343,-75.4561921237714"
120,BREMAN-KONTWIMA,26,,,,,",,,"
121,SUAME-KROPO,26,,,,,",,,"
122,SANTASI NEW SITE,24,6.65155963,-1.64969317,6.64886167,-1.65239113,"6.6515596302915,-1.64969316970849,6.64886166970849,-1.6523911302915"
123,ATONSU KUWAIT,23,6.64975948,-1.60812117,6.64706152,-1.61081913,"6.6497594802915,-1.60812116970849,6.64706151970849,-1.6108191302915"
124,OLD AMAKOM,23,6.689798463,-1.593725705,6.668763458,-1.60889637,"6.68979846259498,-1.59372570538398,6.66876345764844,-1.60889637013146"
125,KATH DOCTORS FLATS,23,,,,,",,,"
126,ABUSUAKRUWA,22,6.73982583,-1.64275597,6.73712787,-1.64545393,"6.7398258302915,-1.64275596970849,6.73712786970849,-1.6454539302915"
127,PATASI ESTATE,22,6.684129555,-1.642391638,6.67287675,-1.650137942,"6.68412955451425,-1.64239163830115,6.67287674977432,-1.65013794234614"
128,AHWIAA OVERSEAS,22,6.75596948,-1.59828277,6.75327152,-1.60098073,"6.7559694802915,-1.59828276970849,6.75327151970849,-1.6009807302915"
129,PANKORONO-ADABRAKA,21,,,,,",,,"
130,ASEM,21,44.44874143,26.1008171,44.44604347,26.0951159,"44.4487414302915,26.1008171,44.4460434697085,26.0951159"
131,EMENA ,20,,,,,",,,"
132,PARAKOU ESTATE,20,,,,,",,,"
133,ABOABO-AKOREM,19,6.700688612,-1.59284585,6.688626337,-1.607437039,"6.70068861205821,-1.59284585047401,6.68862633743456,-1.60743703887929"
134,AYEDUASE NEW SITE,19,6.67855583,-1.54852542,6.67585787,-1.55122338,"6.6785558302915,-1.54852541970849,6.67585786970849,-1.5512233802915"
135,KRONUM-AFRANCHO,19,7.427240819,-1.960802166,7.411154613,-1.976594831,"7.42724081917217,-1.9608021657776,7.41115461266143,-1.97659483142795"
136,MBROM-ST. LOUIS COLLEGE,19,,,,,",,,"
137,KWADASO NORTH/NSUOM,18,,,,,",,,"
138,KUMASI,18,6.795961266,-1.499633753,6.584209681,-1.732578282,"6.79596126605938,-1.49963375291665,6.58420968065713,-1.73257828162069"
139,APPIEDU-KOKOBEN ,16,,,,,",,,"
140,EMENA,16,,,,,",,,"
141,KROMUM ABOAHIA,16,,,,,",,,"
142,OLD SUAME,16,,,,,",,,"
143,UCEW-K CAMPUS,16,,,,,",,,"
144,YENNYAWOSO,16,6.71654658,-1.60572247,6.71384862,-1.60842043,"6.7165465802915,-1.60572246970849,6.71384861970849,-1.6084204302915"
145,AHWOMASO,16,,,,,",,,"
146,ABOABO-NO.2,14,6.224968888,-1.349837779,6.217588251,-1.358613985,"6.22496888783264,-1.34983777872354,6.21758825067052,-1.35861398463819"
147,AYIGYA-ZONGO,14,,,,,",,,"
148,ABOABO-EXTENSION,13,,,,,",,,"
149,KENTINKRONO NSENIE,13,6.70599023,-1.55191402,6.70329227,-1.55461198,"6.7059902302915,-1.55191401970849,6.70329226970849,-1.5546119802915"
150,KWAPRA,13,6.76077098,-1.62850842,6.75807302,-1.63120638,"6.7607709802915,-1.62850841970849,6.75807301970849,-1.6312063802915"
151,SOKOBAN NEWSITE,13,,,,,",,,"
152,BREMAN-ABUSUAKRUWA,13,,,,,",,,"
153,POKUKROM,13,7.010728921,-1.961381407,7.006810208,-1.967174981,"7.01072892091191,-1.96138140691625,7.00681020829128,-1.96717498119961"
154,DONYINA,12,6.69355843,-1.59616057,6.69086047,-1.59885853,"6.6935584302915,-1.59616056970849,6.69086046970849,-1.5988585302915"
155,KOTWI NEW SITE,12,6.598491124,-1.66005134,6.588899128,-1.669921936,"6.59849112424558,-1.66005134006266,6.58889912832083,-1.66992193627636"
156,MAXIMA,11,,,,,",,,"
157,BOKANKYE,11,6.72335823,-1.69264547,6.72066027,-1.69534343,"6.7233582302915,-1.69264546970849,6.72066026970849,-1.6953434302915"
158,TAFO ADOMPON,11,6.783838832,-1.561260243,6.686686959,-1.645502974,"6.78383883161048,-1.56126024277723,6.68668695946999,-1.64550297386536"
159,TAFO MILE 4,11,,,,,",,,"
160,KOTWI  NKORANZA,11,7.587389456,-1.684942132,7.544592445,-1.727342594,"7.58738945615355,-1.68494213226963,7.54459244515695,-1.72734259374784"
161,ASAFO YF,11,,,,,",,,"
162,ROMAN HIL,11,,,,,",,,"
163,SUBIN,11,,,,,",,,"
164,ABOABO-N0.1,10,6.700688612,-1.59284585,6.688626337,-1.607437039,"6.70068861205821,-1.59284585047401,6.68862633743456,-1.60743703887929"
165,"FUMESUA-CSIR CAMPUS
FUMESUA",10,,,,,",,,"
166,PAAKOSO SEMINARY,10,,,,,",,,"
167,ATONSU BOKRO,10,6.664306496,-1.595141947,6.629461733,-1.620783682,"6.6643064962541,-1.59514194692848,6.62946173321423,-1.62078368216666"
168,DADIESO,10,6.12698586,-3.022956731,6.106418337,-3.047332842,"6.12698586028864,-3.02295673118702,6.10641833671144,-3.04733284178891"
169,PINE AVENUE,10,27.53059348,-82.73351462,27.52789552,-82.73621258,"27.5305934802915,-82.7335146197084,27.5278955197084,-82.7362125802915"
170,SANTASI-HEMANG,10,,,,,",,,"
171,ASUBONTENG,9,,,,,",,,"
172,SOFOLINE,9,6.659709726,-1.601219176,6.637543824,-1.633234024,"6.65970972581515,-1.60121917622858,6.63754382429249,-1.63323402377141"
173,AIRPORT ROUNDABUOT,9,,,,,",,,"
174,AMAFROM,9,5.502367952,6.867313353,5.492863127,6.857185372,"5.50236795185818,6.86731335311773,5.49286312699514,6.8571853723298"
175,APRABON,8,,,,,",,,"
176,TECH MAXIMA,8,8.72637428,77.71935543,8.72367632,77.71665747,"8.7263742802915,77.7193554302915,8.72367631970849,77.7166574697085"
177,ASUYEBOAH COMPLEX,8,6.705142644,-1.650094966,6.690267224,-1.673011824,"6.70514264403485,-1.6500949660626,6.69026722392851,-1.67301182401137"
178,ASUYEBOAH NORTH,8,6.705142644,-1.650094966,6.690267224,-1.673011824,"6.70514264403485,-1.6500949660626,6.69026722392851,-1.67301182401137"
179,BUOKROM-SOUTH AFRICA,8,-22.12542392,38.22169036,-47.13134892,16.28169994,"-22.1254239174867,38.2216903610958,-47.131348915597,16.2816999367423"
180,SANTASI FANKYENEBRA,8,6.665396157,-1.63558965,6.657979351,-1.643571958,"6.66539615677701,-1.63558964987616,6.65797935111631,-1.64357195765475"
181,SMS HOSTEL KATH,8,,,,,",,,"
182,ADOATO,7,,,,,",,,"
183,ASANTEMAN SHS,7,6.71044813,-1.62698267,6.70775017,-1.62968063,"6.7104481302915,-1.62698266970849,6.70775016970849,-1.6296806302915"
184,SUNTRESO,7,6.70459778,-1.63748082,6.70189982,-1.64017878,"6.7045977802915,-1.63748081970849,6.70189981970849,-1.6401787802915"
185,ANWOMASO-HIGH TENSION,7,,,,,",,,"
186,APEMSO,7,6.661794361,-1.52744291,6.647194826,-1.541347459,"6.66179436145346,-1.5274429101281,6.64719482631462,-1.54134745932672"
187,AMAKOM SOBOLO,7,6.689798463,-1.593725705,6.668763458,-1.60889637,"6.68979846259498,-1.59372570538398,6.66876345764844,-1.60889637013146"
188,BREMAN -AGOGOSO,7,,,,,",,,"
189,MAAKRO KONTWOMA,7,,,,,",,,"
190,SUAME BARRACKS,7,6.738343744,-1.628165147,6.70940463,-1.666531616,"6.73834374355006,-1.62816514689566,6.70940463045805,-1.66653161624298"
191,APIRE NEW SITE,7,6.64905353,-1.65472837,6.64635557,-1.65742633,"6.6490535302915,-1.65472836970849,6.64635556970849,-1.6574263302915"
192,DAKODWOM,7,6.694060765,-1.617672349,6.669296368,-1.641061262,"6.69406076548022,-1.61767234905501,6.66929636822057,-1.64106126172398"
193,BEKWAI-ROUNDABOUT,7,6.66794998,-1.61493472,6.66525202,-1.61763268,"6.6679499802915,-1.61493471970849,6.66525201970849,-1.6176326802915"
194,PAKOSO ESTATE,6,,,,,",,,"
195,AMAKOM STADIUM,6,6.689798463,-1.593725705,6.668763458,-1.60889637,"6.68979846259498,-1.59372570538398,6.66876345764844,-1.60889637013146"
196,STADIUM SOBOLO,6,,,,,",,,"
197,AFRANCHO HEMANGG,6,,,,,",,,"
198,ANOMANGYE-NKWATA,6,,,,,",,,"
199,HEMANG-BOUHO,6,,,,,",,,"
200,KRONUM-KYERASO,6,,,,,",,,"
201,KWADASO HILL TOP,6,,,,,",,,"
202,BUOKROM,6,6.737353043,-1.599841082,6.716660966,-1.612823056,"6.73735304322239,-1.59984108237484,6.71666096611053,-1.61282305578161"
203,KROFROM C.P.C.,6,,,,,",,,"
204,SANTASI- MPATIA,6,6.700624773,-1.631548462,6.618484877,-1.697087276,"6.70062477331705,-1.63154846212246,6.61848487664691,-1.6970872756933"
205,KUMASI CENTRAL PRISON,6,6.69512493,-1.62248762,6.69242697,-1.62518558,"6.6951249302915,-1.62248761970849,6.69242696970849,-1.6251855802915"
206,COMPLEX NEW SITE,5,,,,,",,,"
207,PRISON BARRACKS,5,,,,,",,,"
208,ATONSU APATRAPA,5,6.664306496,-1.595141947,6.629461733,-1.620783682,"6.6643064962541,-1.59514194692848,6.62946173321423,-1.62078368216666"
209,AFRANCHO-BRONKONG,5,,,,,",,,"
210,WESCO,5,,,,,",,,"
211,SANTASI-AHENEMA  KOKOBIN,5,6.624538151,-1.642885187,6.612175521,-1.659364753,"6.62453815080551,-1.64288518745351,6.61217552107769,-1.65936475294913"
212,KOTEI NEW SITE,4,6.65898478,-1.55383297,6.65628682,-1.55653093,"6.6589847802915,-1.55383296970849,6.65628681970849,-1.5565309302915"
213,ODUOM NEW SITE,4,,,,,",,,"
214,ASOKWA POLICE BARRACKS,4,6.67053158,-1.60729817,6.66783362,-1.60999613,"6.6705315802915,-1.60729816970849,6.66783361970849,-1.6099961302915"
215,ATONSU - FEYIASE,4,,,,,",,,"
216,"CHIRAPATRE   NEW    SITE, PLT 27 BLK M",4,,,,,",,,"
217,SOKOBAN N/S,4,,,,,",,,"
218,ASUYEBOAH -KSI,4,,,,,",,,"
219,ASUYEBOAH-NORTH,4,,,,,",,,"
220,AHWIAA NEW SITE,4,,,,,",,,"
221,SANTASI DARKO,4,6.700624773,-1.631548462,6.618484877,-1.697087276,"6.70062477331705,-1.63154846212246,6.61848487664691,-1.6970872756933"
222,ADUM,4,,,,,",,,"
223,KATH -HOSTEL,3,,,,,",,,"
224,ABOABO-NIMA,3,6.700688612,-1.59284585,6.688626337,-1.607437039,"6.70068861205821,-1.59284585047401,6.68862633743456,-1.60743703887929"
225,AYIGYA ESTENSION,3,,,,,",,,"
226,AYIGYA MARKET,3,6.69113368,-1.57111097,6.68843572,-1.57380893,"6.6911336802915,-1.57111096970849,6.68843571970849,-1.5738089302915"
227,OFORIKROM EXTENSION,3,6.708496057,-1.505004794,6.643676727,-1.604675149,"6.70849605668921,-1.50500479388565,6.64367672741042,-1.60467514870144"
228,AMAKOM ROUNDABOUT,3,6.689798463,-1.593725705,6.668763458,-1.60889637,"6.68979846259498,-1.59372570538398,6.66876345764844,-1.60889637013146"
229,ASOKWA 4 JUNCTION,3,6.261465249,-1.482038454,6.236636853,-1.513881751,"6.26146524883536,-1.48203845371038,6.23663685339235,-1.51388175112073"
230,ATONSU  RAMSEYER,3,6.664306496,-1.595141947,6.629461733,-1.620783682,"6.6643064962541,-1.59514194692848,6.62946173321423,-1.62078368216666"
231,ATONSU SEWUA,3,6.664306496,-1.595141947,6.629461733,-1.620783682,"6.6643064962541,-1.59514194692848,6.62946173321423,-1.62078368216666"
232,SOKOBAN ,3,,,,,",,,"
233,SOKOBAN AMPAYOO,3,,,,,",,,"
234,SOKOBAN APAASO,3,6.61235483,-1.60913967,6.60965687,-1.61183763,"6.6123548302915,-1.60913966970849,6.60965686970849,-1.6118376302915"
235,SOKOBAN KROFROM,3,,,,,",,,"
236,SOKOBAN- KROFROM,3,,,,,",,,"
237,HEMANG-APIRE,3,,,,,",,,"
238,SUAME EXT.,3,6.738343744,-1.628165147,6.70940463,-1.666531616,"6.73834374355006,-1.62816514689566,6.70940463045805,-1.66653161624298"
239,SUAME-MAGAZINE,3,6.738343744,-1.628165147,6.70940463,-1.666531616,"6.73834374355006,-1.62816514689566,6.70940463045805,-1.66653161624298"
240,ASUYEBOAH ,3,,,,,",,,"
241,AHWIAA MEDUMA,3,6.917054279,-1.639022734,6.883141153,-1.672496729,"6.91705427906211,-1.63902273424599,6.88314115311992,-1.67249672857653"
242,BUOKROM F-LINE,3,6.737353043,-1.599841082,6.716660966,-1.612823056,"6.73735304322239,-1.59984108237484,6.71666096611053,-1.61282305578161"
243,SEPE NSUOANSA,3,,,,,",,,"
244,DICHEMSO-SERWAA NYARKO SCHOOL,3,,,,,",,,"
245,AHODWO AMPAWAME,3,6.660802344,-1.608729959,6.647178843,-1.635315732,"6.66080234389999,-1.60872995916336,6.64717884319906,-1.63531573191966"
246,DAAU,3,,,,,",,,"
247,DABAN,3,,,,,",,,"
248,RIDGE,3,,,,,",,,"
249,ADUM-PAMPASO,3,,,,,",,,"
250,ASAFO LABOUR,3,6.69132803,-1.61196237,6.68863007,-1.61466033,"6.6913280302915,-1.61196236970849,6.68863006970849,-1.6146603302915"
251,AMPAAME NURSES QUARTERS,2,,,,,",,,"
252,COMPLEX BARRACKS,2,,,,,",,,"
253,COUNCIL QUARTERS,2,,,,,",,,"
254,KATH  SMS,2,,,,,",,,"
255,OLD BARRES 4 GARRISON ,2,,,,,",,,"
256,PREMPEH COLLEGE CAMPUS,2,6.70429583,-1.64278142,6.70159787,-1.64547938,"6.7042958302915,-1.64278141970849,6.70159786970849,-1.6454793802915"
